0,1,2,3,4,5,6,7,8,index
False,False,False,False,False,False,True,False,False,9
False,False,True,False,False,False,False,False,False,32
False,False,False,False,False,False,False,True,False,56
False,True,False,False,False,False,False,False,False,68
False,False,False,False,True,False,False,False,False,69
False,False,False,False,False,False,False,False,True,129
False,False,False,False,False,False,False,True,False,135
False,False,False,False,False,False,False,False,True,136
False,False,False,False,True,False,False,False,False,145
False,False,False,False,True,False,False,False,False,150
False,False,False,True,False,False,False,False,False,176
False,False,True,False,False,False,False,False,False,206
False,False,False,False,False,False,True,False,False,213
False,False,False,False,False,True,False,False,False,238
False,False,False,False,True,False,False,False,False,265
True,False,False,False,False,False,False,False,False,266
True,False,True,False,False,False,False,False,False,282
False,False,False,False,False,False,False,True,False,305
False,False,False,False,False,True,False,False,False,331
False,False,False,False,False,False,False,False,True,382
False,False,False,False,False,True,False,False,False,397
False,False,False,False,False,False,True,False,False,424
False,False,True,False,False,False,False,False,False,433
False,True,False,False,False,False,False,False,False,459
False,False,False,False,False,False,False,False,True,479
False,False,False,True,False,False,False,False,False,481
False,False,False,False,False,False,False,False,True,527
False,False,False,False,False,False,True,False,False,529
False,True,False,False,False,False,False,False,False,567
False,False,False,True,False,False,False,False,False,635
True,False,False,False,False,False,False,False,False,727
False,False,False,True,False,False,False,False,False,744
False,True,False,False,False,False,False,False,False,752
False,False,False,False,False,False,True,False,False,783
False,False,False,False,False,True,False,False,False,810
False,False,False,False,False,False,False,True,False,827
False,False,False,False,True,False,False,False,False,846
False,True,False,False,False,False,False,False,False,868
False,False,False,False,False,True,False,False,False,877
True,False,False,False,False,False,False,False,False,928
False,False,True,False,False,False,False,False,False,940
False,False,False,False,False,False,False,True,False,948
False,False,False,True,False,False,False,False,False,955
True,False,False,False,False,False,False,False,False,994
