0,1,2,3,4,5,6,7,8,9,10,11,12,13,index
False,False,False,False,False,False,True,False,False,False,False,False,False,False,61
False,False,False,False,False,False,False,False,True,False,False,False,False,False,70
False,False,False,False,False,False,False,False,False,True,False,False,False,False,77
False,True,False,False,False,False,False,False,False,False,False,True,False,False,84
False,False,False,False,False,False,False,False,True,False,False,False,True,False,110
False,False,False,False,False,False,False,False,False,False,True,False,False,False,117
True,False,False,False,False,False,False,False,False,False,False,False,False,False,127
False,False,False,False,True,False,False,False,False,False,False,False,False,False,148
False,False,False,False,False,False,False,False,False,False,True,False,False,False,154
False,False,False,False,False,False,False,False,False,True,False,False,False,False,165
False,False,False,False,False,False,True,False,False,False,False,False,False,False,174
False,False,False,False,False,False,False,False,False,False,False,True,False,False,196
False,False,False,False,False,False,False,True,False,False,False,False,False,False,217
False,False,False,False,False,False,True,False,False,False,False,False,False,False,229
False,False,False,False,False,False,False,False,False,False,True,False,False,False,233
True,False,False,False,False,False,False,False,False,False,False,False,False,False,244
False,False,False,False,False,False,False,True,False,False,False,False,False,False,249
False,False,False,False,False,False,False,False,False,False,True,False,False,False,292
False,False,False,False,True,False,False,False,False,False,False,False,False,False,312
False,False,False,False,False,False,True,False,False,False,False,False,False,False,318
False,False,False,False,False,False,False,False,False,False,False,False,True,False,327
False,False,False,False,False,True,False,False,False,False,False,False,False,False,338
True,False,False,False,False,False,False,False,False,False,False,False,False,False,356
False,False,True,False,False,False,False,False,False,False,False,False,False,False,361
False,False,False,False,False,False,False,True,False,False,False,False,False,False,369
False,False,True,False,False,False,False,False,False,False,False,False,False,False,400
False,False,False,False,False,False,False,False,False,False,False,False,False,True,410
False,False,False,False,True,False,False,False,False,False,False,False,False,False,415
False,False,False,False,False,True,False,False,False,False,False,False,False,False,423
False,True,False,False,False,False,False,False,False,False,False,False,False,False,432
True,False,False,False,False,False,False,False,False,False,False,False,False,False,456
False,False,False,False,False,False,False,False,False,False,False,True,False,False,460
False,True,False,False,False,False,False,False,False,False,False,False,False,False,464
False,False,False,False,False,False,False,False,False,False,False,True,False,False,492
False,False,True,False,False,False,False,False,False,False,False,False,False,False,505
False,False,True,False,False,False,False,False,False,False,False,False,False,False,507
True,False,False,False,False,False,False,False,False,False,False,False,False,False,529
False,True,False,False,False,False,False,False,False,False,False,False,False,False,532
False,False,False,False,True,False,False,False,False,False,False,False,False,False,537
False,False,True,False,False,False,False,False,False,False,False,False,False,False,598
False,False,False,False,False,False,False,True,False,False,False,False,False,False,617
False,False,False,False,False,False,False,False,False,False,False,False,True,False,619
False,False,False,False,False,False,False,False,False,False,False,False,False,True,646
False,True,False,False,False,False,False,False,False,False,False,False,False,False,685
False,False,False,False,False,False,False,True,False,False,False,False,False,False,694
False,False,False,False,False,True,False,False,False,False,False,False,False,False,695
False,False,False,False,False,False,False,False,False,False,False,True,False,False,747
False,False,False,False,False,True,False,False,False,False,False,False,False,False,748
False,False,False,False,False,False,False,False,False,False,False,False,False,True,777
False,False,False,False,False,False,False,False,False,True,False,False,False,False,785
False,False,False,False,False,False,True,False,False,False,False,False,False,False,796
False,False,False,True,False,False,False,False,False,False,False,False,False,False,801
False,False,False,False,False,False,False,False,False,False,False,False,False,True,827
False,False,False,False,False,False,False,False,True,False,False,False,False,False,834
False,False,False,True,False,False,False,False,False,False,False,False,False,False,840
False,False,False,True,False,False,False,False,False,False,False,False,False,False,843
False,False,False,False,False,False,False,False,True,False,False,False,False,False,868
False,False,False,False,False,False,False,False,False,False,False,False,True,False,900
False,False,False,False,False,False,False,False,False,False,False,False,False,True,903
False,False,False,False,False,False,False,False,False,False,True,False,False,False,914
False,False,False,True,False,False,False,False,False,False,False,False,False,False,922
False,False,False,False,False,False,False,False,False,True,False,False,False,False,923
False,False,False,False,False,True,False,False,False,False,False,False,False,False,924
False,False,False,False,True,False,False,False,False,False,False,False,False,False,938
False,False,False,False,False,False,False,False,False,False,False,False,True,False,955
False,False,False,True,False,False,False,False,False,False,False,False,False,False,966
False,False,False,False,False,False,False,False,False,True,False,False,False,False,974
False,False,False,False,False,False,False,False,True,False,False,False,False,False,986
