0,1,2,3,index
False,False,False,True,172
True,False,False,False,183
False,False,True,False,184
True,False,False,False,207
False,True,False,False,220
False,True,False,False,245
True,False,True,False,315
False,False,False,True,323
True,False,False,False,477
True,False,False,False,510
False,True,False,False,577
False,True,False,False,654
False,False,False,True,704
False,True,False,False,723
False,False,True,False,754
False,False,True,False,765
False,False,True,False,781
False,False,False,True,824
False,False,False,True,975
