0,1,2,3,4,5,6,7,8,9,10,11,12,13,index
False,False,False,False,False,False,False,False,False,False,False,False,True,False,49
False,False,False,False,False,False,False,False,True,False,False,False,False,False,75
False,False,False,False,False,False,False,False,False,False,True,False,False,False,80
False,False,False,False,False,False,False,False,False,False,True,False,False,False,83
False,False,True,False,False,False,False,False,False,False,False,False,False,False,92
False,False,False,False,False,False,False,False,False,False,False,True,False,False,106
False,False,True,False,False,False,False,False,False,False,False,False,False,False,109
False,False,False,False,False,False,False,False,False,False,False,True,False,False,111
False,False,False,False,False,False,False,False,False,True,False,False,False,False,113
False,False,False,False,False,True,False,False,False,False,False,False,False,False,121
False,False,False,False,False,False,False,True,False,False,False,False,False,False,147
False,False,False,False,False,False,True,False,False,False,False,False,False,False,166
False,False,False,False,False,False,False,False,True,False,False,False,False,False,171
False,False,False,True,False,False,False,False,False,False,False,False,False,False,200
False,False,True,False,False,False,False,False,False,False,False,False,False,False,212
False,False,False,True,False,False,False,False,False,False,False,False,False,False,239
False,False,False,True,False,False,False,False,False,False,False,False,False,False,248
False,False,True,False,False,False,False,False,False,False,False,False,False,False,262
False,False,True,False,False,False,False,False,False,False,False,False,False,False,265
False,False,False,False,False,False,True,False,False,False,False,False,False,False,268
False,False,False,False,False,False,False,False,False,False,False,True,False,False,269
False,False,False,False,False,False,True,False,False,False,False,False,False,False,308
False,False,False,False,True,False,False,False,True,False,False,False,False,False,327
False,False,False,False,True,False,False,False,False,False,False,False,False,False,379
False,False,False,False,False,False,False,False,True,False,False,False,False,False,395
False,True,False,False,False,False,False,False,False,False,False,False,False,False,427
False,True,False,False,False,False,False,True,False,False,False,False,False,False,430
True,False,False,False,False,False,False,False,False,False,False,False,False,False,436
False,False,False,False,False,False,False,True,False,False,False,False,False,False,461
False,False,False,False,True,False,False,False,False,False,False,False,False,False,474
False,False,False,False,False,False,False,False,False,True,False,False,False,False,478
False,False,False,False,False,False,False,False,False,False,True,False,False,False,480
True,False,False,False,False,False,False,False,False,False,False,False,False,False,482
False,False,False,False,False,False,False,False,False,False,False,False,True,False,483
False,True,False,False,False,False,False,False,False,False,False,False,False,False,490
False,False,False,False,False,False,False,False,True,False,False,False,False,False,497
False,False,False,False,False,False,True,False,False,False,False,False,False,False,499
False,False,False,False,False,False,True,False,False,False,False,False,False,False,512
True,False,False,False,False,False,False,False,False,False,False,False,False,False,528
False,False,False,False,False,False,False,False,False,True,False,False,False,False,530
False,False,False,False,False,False,False,False,False,False,True,False,False,False,575
False,False,False,False,False,True,False,False,False,False,False,False,False,False,600
False,False,False,False,False,True,False,False,False,False,False,False,False,False,610
False,False,False,False,False,False,False,True,False,False,False,False,False,False,661
False,False,False,False,False,False,False,False,False,True,False,False,False,False,669
False,False,False,False,False,True,False,False,False,False,False,False,False,False,678
False,False,False,False,False,False,False,False,False,False,False,False,True,False,732
False,False,False,True,False,False,False,False,False,False,False,False,False,False,736
False,False,False,False,False,False,False,False,False,False,False,False,False,True,743
False,False,False,False,False,False,False,False,False,False,False,False,True,False,778
False,False,False,False,False,False,False,False,False,False,False,True,False,False,788
True,False,False,False,False,False,False,False,False,False,False,False,False,False,810
False,False,False,False,False,False,False,False,False,False,False,False,False,True,827
True,False,False,False,False,False,False,False,False,False,False,False,False,False,831
False,False,False,False,False,False,False,True,False,False,False,False,False,False,847
False,False,False,False,False,True,False,False,False,False,False,False,False,False,861
False,False,False,False,False,False,False,False,False,True,False,False,False,False,866
False,False,False,False,True,False,False,False,False,False,False,False,False,False,870
False,False,False,False,False,False,False,False,False,False,False,False,True,False,871
False,False,False,True,False,False,False,False,False,False,False,False,False,False,875
False,False,False,False,False,False,False,False,False,False,False,False,False,True,885
False,False,False,False,False,False,False,False,False,False,False,True,False,False,888
False,True,False,False,False,False,False,False,False,False,False,False,False,False,912
False,False,False,False,False,False,False,False,False,False,False,False,False,True,923
False,False,False,False,False,False,False,False,False,False,True,False,False,False,955
False,True,False,False,False,False,False,False,False,False,False,False,False,False,985
False,False,False,False,True,False,False,False,False,False,False,False,False,False,988
False,False,False,False,False,False,False,False,False,False,False,False,False,True,996
