0,1,2,3,4,5,6,7,8,9,index
False,False,False,True,False,False,False,False,False,False,34
False,False,False,False,False,False,False,False,True,False,90
False,False,False,False,False,False,True,False,False,False,116
False,True,False,False,False,False,False,False,False,False,122
False,False,False,False,False,False,False,False,False,True,123
False,False,False,True,False,False,False,False,False,False,130
False,False,False,False,False,False,False,True,False,False,132
False,False,False,False,False,False,False,False,False,True,137
False,False,False,True,False,False,False,False,False,False,139
False,False,False,False,False,False,False,False,True,False,182
False,True,False,False,False,False,False,False,False,False,205
False,False,False,True,False,False,False,False,False,False,232
False,False,True,False,False,False,False,False,False,False,243
True,False,False,False,False,False,False,False,False,False,244
False,False,False,False,False,False,True,False,False,False,252
False,False,False,False,True,False,False,False,False,False,260
False,True,False,False,False,False,False,False,False,False,294
False,False,False,False,False,True,False,False,False,False,300
False,False,False,True,False,False,False,False,False,False,333
False,False,False,False,False,True,False,False,False,False,341
True,False,False,False,False,False,False,False,False,False,358
False,False,False,False,True,False,False,False,False,False,377
False,False,False,False,False,True,False,False,False,False,441
False,False,False,False,False,False,False,False,False,True,461
True,False,False,False,False,False,False,False,False,False,473
False,False,False,False,False,True,False,False,False,False,522
False,False,False,False,False,False,False,False,False,True,531
False,False,False,False,False,False,False,True,False,False,544
False,False,True,False,False,False,False,False,False,False,562
False,True,False,False,False,False,False,False,False,False,581
False,False,True,False,False,False,False,False,False,False,583
False,False,True,False,False,False,False,False,False,False,589
False,False,False,False,False,False,False,False,True,False,605
False,False,False,False,False,True,False,False,False,False,624
False,False,False,False,True,False,False,False,False,False,625
False,False,False,False,False,False,False,False,False,True,692
False,False,False,False,False,False,False,True,False,False,699
False,False,False,False,False,False,True,False,False,False,708
True,False,False,False,False,False,False,False,False,False,720
False,False,False,False,False,False,False,False,True,False,736
False,False,False,False,False,False,False,True,False,False,747
False,False,False,False,False,False,True,False,False,False,765
False,False,False,False,True,False,False,False,False,False,768
False,False,False,False,True,False,False,False,False,False,784
False,False,False,False,False,False,False,False,True,False,793
False,False,False,False,False,False,False,True,False,False,807
False,False,False,False,False,False,True,False,False,False,863
False,True,False,False,False,False,False,False,False,False,883
False,False,True,False,False,False,False,False,False,False,922
True,False,False,False,False,False,False,False,False,False,965
