0,1,2,3,4,5,6,7,8,9,10,index
True,False,False,False,False,False,False,False,False,False,False,27
False,False,False,False,True,False,False,False,False,False,False,44
False,True,False,False,False,False,False,False,False,False,False,51
False,False,False,False,False,False,False,False,False,True,False,73
False,False,True,False,False,False,False,False,False,False,False,92
False,False,False,False,False,True,False,False,False,False,False,93
False,False,False,False,False,False,False,False,True,False,False,97
False,False,False,False,False,False,False,False,True,False,False,125
False,False,False,False,False,False,False,True,False,False,False,155
False,True,False,False,False,False,False,False,False,False,False,172
False,False,True,False,False,False,False,False,False,False,False,173
False,False,False,False,False,False,False,True,False,False,False,196
False,False,False,True,False,False,False,False,False,False,False,198
False,False,False,False,False,False,False,True,False,False,False,211
False,False,False,True,False,False,False,False,False,False,False,248
False,False,False,False,False,False,False,False,False,True,False,283
False,True,False,False,False,False,False,False,False,False,False,297
False,False,False,False,False,False,False,False,False,True,False,317
False,False,True,False,False,False,False,False,False,False,False,331
False,False,False,False,False,True,False,False,False,False,False,335
True,False,False,False,False,False,False,False,False,False,False,336
False,False,False,False,False,False,False,False,False,False,True,344
False,False,False,False,False,True,False,False,False,False,False,407
False,False,False,False,False,False,False,False,True,False,False,420
False,False,False,True,False,False,False,False,False,False,False,434
False,False,False,False,True,False,False,False,False,False,False,435
False,False,False,False,False,False,False,False,False,False,True,459
False,False,False,False,False,False,False,False,False,False,True,469
False,False,True,False,False,False,False,False,False,False,False,484
False,False,False,True,False,False,False,False,False,False,False,487
True,False,False,False,False,False,False,False,False,False,False,534
False,False,False,False,False,False,True,False,False,False,False,560
False,False,False,False,False,False,False,False,True,False,False,566
False,False,False,True,False,False,False,False,False,False,False,583
False,False,False,False,False,False,False,False,False,False,True,596
False,False,False,False,False,False,True,False,False,False,False,615
False,True,False,False,False,False,False,False,False,False,False,628
False,False,False,False,True,True,False,False,False,False,False,638
False,False,False,False,False,False,False,True,False,False,False,670
False,False,False,False,False,False,True,False,False,False,False,723
False,False,False,False,True,False,False,False,False,False,False,750
False,False,False,False,True,False,False,False,False,False,False,769
True,False,False,False,False,False,False,False,False,True,False,773
False,False,False,False,False,False,True,False,False,False,False,792
False,True,False,False,False,False,False,False,False,False,False,798
False,False,False,False,False,False,False,False,True,False,False,834
False,False,False,False,False,False,False,False,False,False,True,838
False,False,True,False,False,False,False,False,False,False,False,856
True,False,False,False,False,False,False,False,False,False,False,865
False,False,False,False,False,False,False,False,False,True,False,917
False,False,False,False,False,False,False,True,False,False,False,941
False,False,False,False,False,True,False,False,False,False,False,967
False,False,False,False,False,False,True,False,False,False,False,982
