0,1,2,3,4,5,6,7,8,index
False,False,True,False,False,False,False,False,False,0
False,False,False,False,False,False,False,True,False,43
False,True,False,False,False,False,False,False,False,49
False,True,False,False,False,False,False,False,False,62
False,False,False,False,False,False,False,False,True,87
False,False,True,False,False,False,False,False,False,103
False,False,True,False,False,False,False,False,False,159
False,False,False,False,False,True,False,False,False,175
True,False,False,False,False,False,False,False,False,188
False,True,False,False,False,False,False,False,False,257
False,False,False,False,False,False,False,False,True,273
False,False,False,False,True,False,False,False,False,274
False,False,False,False,False,False,False,True,False,330
True,False,False,False,False,False,False,False,False,354
False,False,False,False,False,False,False,False,True,409
False,False,True,False,False,False,False,False,False,410
False,False,False,False,True,False,False,False,False,411
False,False,False,False,False,False,False,False,True,433
False,False,False,False,False,False,True,False,False,440
False,False,False,False,True,False,False,False,False,450
False,False,False,False,False,False,True,False,False,454
False,False,False,True,False,False,False,False,False,458
False,False,False,False,False,False,False,True,False,481
False,False,False,False,False,False,True,False,False,491
False,False,False,True,False,False,False,False,False,496
False,False,False,False,False,True,False,False,False,534
True,False,False,False,False,False,False,False,False,583
True,False,False,False,False,False,False,False,False,598
False,True,False,False,False,False,False,False,False,666
False,False,False,False,False,True,False,False,False,691
False,True,False,False,False,False,False,False,False,706
False,False,False,True,False,False,False,False,False,729
False,False,False,False,True,False,False,False,False,730
True,False,False,False,False,False,False,False,False,762
False,False,False,False,False,True,False,False,False,763
False,False,False,True,False,False,False,True,False,814
False,False,False,False,True,False,False,False,False,829
False,False,False,False,False,True,False,False,False,837
False,False,True,False,False,False,False,False,False,883
False,False,False,True,False,False,False,False,False,919
False,False,False,False,False,False,False,True,False,929
False,False,False,False,False,False,True,False,False,930
False,False,False,False,False,False,False,False,True,950
False,False,False,False,False,False,True,False,False,998
