0,1,2,3,4,5,6,7,8,9,10,11,index
False,False,False,False,False,False,False,False,False,False,False,True,10
True,False,False,False,False,False,False,False,False,False,False,False,26
False,False,False,False,False,False,False,False,False,True,False,False,44
False,False,False,True,False,False,False,False,False,False,False,False,60
False,False,False,False,True,False,False,False,False,False,False,False,94
False,False,False,True,False,False,False,False,False,False,False,False,121
False,True,False,False,False,False,False,False,False,False,False,False,126
False,False,True,False,False,False,False,False,False,False,False,False,158
False,False,False,False,False,False,False,True,False,False,False,False,165
False,False,False,False,False,True,False,False,False,False,False,False,188
False,False,False,False,False,False,False,False,False,False,True,False,192
False,False,True,False,False,False,False,True,False,False,False,False,201
False,True,False,False,False,False,False,False,False,False,False,False,241
True,False,False,False,False,False,False,False,False,False,False,False,245
False,True,False,False,False,False,False,False,False,False,False,False,253
False,False,False,False,False,False,False,False,True,False,False,True,259
False,True,False,False,False,False,False,False,False,False,False,False,263
False,False,False,False,False,False,False,False,False,False,False,True,280
False,False,False,False,False,False,True,False,False,False,False,False,296
False,False,False,False,False,False,False,True,False,False,False,False,311
False,False,False,False,False,False,False,False,True,False,False,False,319
True,False,False,False,False,False,False,False,False,False,False,False,325
False,False,True,False,False,False,False,False,False,False,False,False,373
False,False,False,False,True,False,False,False,False,False,False,False,395
False,False,False,False,False,True,False,False,False,False,False,False,420
False,False,False,False,False,False,True,False,False,False,False,False,447
False,False,False,False,False,False,False,False,True,False,False,False,478
False,False,True,False,False,False,False,False,False,False,False,False,479
False,False,False,False,False,False,False,False,False,False,True,False,484
False,False,True,False,False,False,False,False,False,False,False,False,494
False,False,False,False,False,False,True,False,False,False,False,False,495
False,False,False,False,True,False,False,False,False,False,False,False,500
False,False,False,False,False,False,False,False,False,True,False,False,516
False,False,False,False,False,False,True,False,False,False,True,False,519
False,False,False,False,False,False,True,False,False,False,False,False,567
False,False,False,False,False,False,False,True,False,False,False,False,599
False,False,False,False,False,False,False,False,False,True,False,False,605
False,False,False,False,False,False,False,False,False,True,False,False,622
False,False,False,False,False,True,False,False,False,False,False,False,640
True,False,False,False,False,False,False,False,False,False,False,False,646
False,False,False,True,False,False,False,False,False,False,False,False,656
False,False,False,False,False,True,False,False,False,False,False,False,700
False,True,False,False,False,False,False,False,False,False,False,False,715
True,False,False,False,False,False,False,False,False,False,False,False,769
False,False,False,False,False,False,False,False,False,False,True,False,771
False,False,False,True,False,False,False,False,False,False,False,False,789
False,False,False,False,True,False,False,False,False,False,False,False,806
False,False,False,False,False,False,False,False,False,False,False,True,828
False,False,False,False,False,False,False,False,True,False,False,False,861
False,False,False,False,False,True,False,False,False,False,False,False,871
False,False,False,False,False,False,False,False,False,False,True,False,879
False,False,False,False,True,False,False,False,False,False,False,False,881
False,False,False,True,False,False,False,False,False,False,False,False,893
False,False,False,False,False,False,False,False,False,False,False,True,900
False,False,False,False,False,False,False,False,True,False,False,False,965
False,False,False,False,False,False,False,False,False,True,False,False,971
False,False,False,False,False,False,False,True,False,False,False,False,986
