0,1,2,3,4,5,6,7,8,9,10,11,12,13,index
False,False,False,False,False,False,False,False,False,False,False,False,False,True,15
False,False,False,False,False,True,False,False,False,False,False,False,False,False,34
False,False,False,False,False,False,False,False,False,False,True,False,False,False,45
False,True,False,False,False,False,False,False,False,False,False,False,False,False,67
False,False,False,False,False,False,False,False,False,False,False,True,False,False,86
False,False,False,True,False,False,False,False,False,False,False,False,False,False,87
False,False,False,False,False,False,False,False,False,False,False,True,False,False,117
False,False,False,True,False,False,False,False,False,False,True,False,False,False,119
False,False,False,False,False,False,False,False,False,False,True,False,False,False,123
False,False,False,False,False,True,False,False,False,False,False,False,False,False,137
False,False,False,False,False,False,False,False,False,True,False,False,False,False,148
False,False,False,False,False,False,False,False,True,False,False,False,False,False,160
False,False,True,False,False,False,False,False,False,False,False,False,False,False,169
False,False,False,False,False,False,False,False,False,False,False,False,False,True,190
False,False,False,False,False,False,False,False,False,False,False,False,False,True,193
False,False,False,False,False,False,False,True,False,False,False,False,False,False,195
False,False,False,False,False,False,False,False,False,False,False,False,False,True,204
False,False,False,False,False,False,False,False,True,False,False,False,False,False,245
False,False,False,False,False,False,False,False,False,True,False,False,False,False,269
True,False,False,False,False,False,False,False,False,False,False,False,False,False,274
False,False,False,False,False,False,False,False,True,False,False,False,False,False,301
False,True,False,False,False,False,False,False,False,False,False,False,False,False,310
False,False,True,False,False,False,False,False,False,False,False,False,False,False,324
False,False,False,True,False,False,False,False,False,False,False,False,False,False,334
False,False,False,False,False,False,False,False,False,False,False,False,True,False,335
True,False,False,False,False,False,False,False,False,False,False,False,False,False,358
False,False,False,False,False,False,False,False,False,False,False,False,True,False,377
False,False,False,False,False,False,False,False,False,False,False,False,True,False,385
False,False,True,False,False,False,False,False,False,False,False,False,False,False,400
False,False,False,False,False,False,False,True,False,False,False,False,False,False,457
False,False,False,False,False,False,True,False,False,False,False,False,False,False,465
False,False,False,False,False,False,True,False,False,False,False,False,False,False,466
False,False,False,False,True,False,False,False,False,False,False,False,False,False,502
False,False,False,False,False,False,False,False,False,True,False,False,False,False,503
False,False,False,False,False,False,False,False,False,False,True,False,False,False,509
False,False,False,False,False,False,False,False,False,True,False,False,False,False,519
False,False,False,False,False,False,True,False,False,False,False,False,False,False,546
False,True,False,False,False,False,False,False,False,False,False,False,False,False,560
False,False,False,False,True,False,True,False,False,False,False,False,False,False,568
False,True,False,False,False,False,False,False,False,False,False,False,False,False,581
False,False,False,False,False,False,True,False,False,False,False,False,False,False,582
False,False,False,True,True,False,False,False,False,False,False,False,False,False,587
False,False,True,False,False,False,False,False,False,False,False,False,False,False,601
False,False,False,True,False,False,False,False,False,False,False,False,False,False,631
False,False,False,False,True,False,False,False,False,False,False,False,False,False,662
False,False,False,False,False,False,False,True,False,False,False,False,False,False,692
True,False,False,False,False,False,False,False,False,False,False,False,False,False,723
False,False,False,False,False,False,False,False,True,False,False,False,False,False,750
False,False,False,False,False,False,False,False,False,False,False,False,True,False,761
True,False,False,False,False,False,False,False,False,False,False,False,False,False,776
False,False,False,False,False,False,False,True,False,False,False,False,False,False,787
False,False,False,False,False,False,False,False,False,False,False,True,False,False,793
False,False,False,False,False,False,False,False,False,False,False,False,False,True,805
False,False,True,False,False,False,False,False,False,False,False,False,False,False,821
False,False,False,False,True,False,False,False,False,False,False,False,False,False,831
False,False,False,False,False,False,False,False,True,False,False,False,False,False,838
False,False,False,False,False,False,False,False,False,False,True,False,False,False,845
False,False,False,False,False,False,False,True,False,False,False,False,False,False,848
False,False,False,False,False,False,False,False,False,False,False,True,False,False,885
False,False,False,False,False,True,False,False,False,False,False,False,False,False,886
False,False,False,False,False,False,False,False,False,False,False,True,False,False,926
False,False,False,False,False,True,False,False,False,False,False,False,False,False,928
False,False,False,False,False,True,False,False,False,False,False,False,False,False,936
False,False,False,False,False,False,False,False,False,False,False,False,True,False,952
False,True,False,False,False,False,False,False,False,False,False,False,False,False,971
True,False,False,False,False,False,False,False,False,False,False,False,False,False,987
False,False,False,False,False,False,False,False,False,True,False,False,False,False,997
